domena,kategoria,grupa
reserved.com,Moda i obuwie,lider
answear.com,Moda i obuwie,lider
modivo.pl,Moda i obuwie,lider
eobuwie.pl,Moda i obuwie,lider
ccc.eu,Moda i obuwie,lider
4f.com.pl,Moda i obuwie,lider
sinsay.com,Moda i obuwie,lider
mohito.com,Moda i obuwie,lider
born2be.pl,Moda i obuwie,mniejszy
renee.pl,Moda i obuwie,mniejszy
diverse.pl,Moda i obuwie,mniejszy
vistula.pl,Moda i obuwie,mniejszy
wolczanka.pl,Moda i obuwie,mniejszy
bizuu.com,Moda i obuwie,mniejszy
mokobelle.com,Moda i obuwie,mniejszy
lavard.com,Moda i obuwie,mniejszy
medicine.pl,Moda i obuwie,mniejszy
x-kom.pl,Elektronika i AGD,lider
mediaexpert.pl,Elektronika i AGD,lider
euro.com.pl,Elektronika i AGD,lider
morele.net,Elektronika i AGD,lider
komputronik.pl,Elektronika i AGD,lider
neonet.pl,Elektronika i AGD,lider
mediamarkt.pl,Elektronika i AGD,lider
oleole.pl,Elektronika i AGD,mniejszy
sferis.pl,Elektronika i AGD,mniejszy
proline.pl,Elektronika i AGD,mniejszy
electro.pl,Elektronika i AGD,mniejszy
zadowolenie.pl,Elektronika i AGD,mniejszy
avans.pl,Elektronika i AGD,mniejszy
icorner.pl,Elektronika i AGD,mniejszy
idream.pl,Elektronika i AGD,mniejszy
cortland.com.pl,Elektronika i AGD,mniejszy
castorama.pl,"Dom, meble i ogród",lider
leroymerlin.pl,"Dom, meble i ogród",lider
agatameble.pl,"Dom, meble i ogród",lider
blackredwhite.com,"Dom, meble i ogród",lider
vox.pl,"Dom, meble i ogród",lider
jysk.pl,"Dom, meble i ogród",lider
obi.pl,"Dom, meble i ogród",lider
meblobranie.pl,"Dom, meble i ogród",mniejszy
dekoria.pl,"Dom, meble i ogród",mniejszy
homla.com.pl,"Dom, meble i ogród",mniejszy
komfort.pl,"Dom, meble i ogród",mniejszy
home-you.com,"Dom, meble i ogród",mniejszy
duka.com,"Dom, meble i ogród",mniejszy
sfmeble.pl,"Dom, meble i ogród",mniejszy
9design.pl,"Dom, meble i ogród",mniejszy
forte.com.pl,"Dom, meble i ogród",mniejszy
rossmann.pl,Uroda i drogerie,lider
hebe.pl,Uroda i drogerie,lider
notino.pl,Uroda i drogerie,lider
douglas.pl,Uroda i drogerie,lider
sephora.pl,Uroda i drogerie,lider
superpharm.pl,Uroda i drogerie,lider
ezebra.pl,Uroda i drogerie,mniejszy
cosibella.pl,Uroda i drogerie,mniejszy
perfumesco.pl,Uroda i drogerie,mniejszy
iperfumy.pl,Uroda i drogerie,mniejszy
e-glamour.pl,Uroda i drogerie,mniejszy
estyle.pl,Uroda i drogerie,mniejszy
cocolita.pl,Uroda i drogerie,mniejszy
ziaja.com,Uroda i drogerie,mniejszy
bielenda.pl,Uroda i drogerie,mniejszy
tolpa.pl,Uroda i drogerie,mniejszy
decathlon.pl,Sport i outdoor,lider
intersport.pl,Sport i outdoor,lider
sportano.pl,Sport i outdoor,lider
martes-sport.pl,Sport i outdoor,lider
sizeer.com,Sport i outdoor,lider
8a.pl,Sport i outdoor,lider
worldbox.pl,Sport i outdoor,mniejszy
skalnik.pl,Sport i outdoor,mniejszy
e-horyzont.pl,Sport i outdoor,mniejszy
centrumrowerowe.pl,Sport i outdoor,mniejszy
sklepbiegacza.pl,Sport i outdoor,mniejszy
trekland.pl,Sport i outdoor,mniejszy
kross.eu,Sport i outdoor,mniejszy
outhorn.com,Sport i outdoor,mniejszy
smyk.com,Dziecko i zabawki,lider
5-10-15.pl,Dziecko i zabawki,lider
coccodrillo.eu,Dziecko i zabawki,lider
endo.pl,Dziecko i zabawki,lider
mamissima.pl,Dziecko i zabawki,lider
bobowozki.com.pl,Dziecko i zabawki,mniejszy
4kidspoint.pl,Dziecko i zabawki,mniejszy
tublu.pl,Dziecko i zabawki,mniejszy
noski-noski.pl,Dziecko i zabawki,mniejszy
coolpack.pl,Dziecko i zabawki,mniejszy
kidsdepot.pl,Dziecko i zabawki,mniejszy
zabawki.pl,Dziecko i zabawki,mniejszy
mamaville.pl,Dziecko i zabawki,mniejszy
empik.com,"Książki, media i hobby",lider
taniaksiazka.pl,"Książki, media i hobby",lider
bonito.pl,"Książki, media i hobby",lider
swiatksiazki.pl,"Książki, media i hobby",lider
gandalf.com.pl,"Książki, media i hobby",lider
audioteka.com,"Książki, media i hobby",lider
legimi.pl,"Książki, media i hobby",lider
woblink.com,"Książki, media i hobby",mniejszy
rebel.pl,"Książki, media i hobby",mniejszy
planszomania.pl,"Książki, media i hobby",mniejszy
znak.com.pl,"Książki, media i hobby",mniejszy
matras.pl,"Książki, media i hobby",mniejszy
nexto.pl,"Książki, media i hobby",mniejszy
czarne.com.pl,"Książki, media i hobby",mniejszy
wydawnictwoliterackie.pl,"Książki, media i hobby",mniejszy
doz.pl,Apteki i suplementy,lider
gemini.pl,Apteki i suplementy,lider
zikoapteka.pl,Apteki i suplementy,lider
aptekaolmed.pl,Apteki i suplementy,lider
cefarm24.pl,Apteki i suplementy,lider
apteka-melissa.pl,Apteki i suplementy,lider
sfd.pl,Apteki i suplementy,mniejszy
kfd.pl,Apteki i suplementy,mniejszy
allnutrition.pl,Apteki i suplementy,mniejszy
olimpsport.com,Apteki i suplementy,mniejszy
i-apteka.pl,Apteki i suplementy,mniejszy
wapteka.pl,Apteki i suplementy,mniejszy
e-zikoapteka.pl,Apteki i suplementy,mniejszy
