domena,kategoria,grupa,metoda,dostep_automatu,OAI-AdsBot,OAI-SearchBot,GPTBot,pixel_openai,pixel_meta,kontenery_gtm,kategoria_openai,data_skanu
apteka-melissa.pl,Apteki i suplementy,lider,przeglądarka,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,GTM-PLVDK9WV,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
aptekaolmed.pl,Apteki i suplementy,lider,przeglądarka,ochrona antybotowa,dozwolony (brak pliku),dozwolony (brak pliku),dozwolony (brak pliku),nie sprawdzono,nie sprawdzono,,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
cefarm24.pl,Apteki i suplementy,lider,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,GTM-K8FPJ4R,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
doz.pl,Apteki i suplementy,lider,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,tak,GTM-NNMW6D,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
gemini.pl,Apteki i suplementy,lider,HTTP,otwarta,dozwolony (brak reguł),dozwolony (brak reguł),dozwolony (brak reguł),nie,nie,GTM-PRNC57P,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
zikoapteka.pl,Apteki i suplementy,lider,HTTP,otwarta,dozwolony (*),dozwolony (*),zablokowany (nazwany),nie,tak,GTM-N4DKD9J7,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
allnutrition.pl,Apteki i suplementy,mniejszy,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,GTM-NNDL89K8,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
i-apteka.pl,Apteki i suplementy,mniejszy,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,tak,GTM-KF43RVK,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
kfd.pl,Apteki i suplementy,mniejszy,przeglądarka,ochrona antybotowa,dozwolony (brak pliku),dozwolony (brak pliku),dozwolony (brak pliku),nie sprawdzono,nie sprawdzono,,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
olimpsport.com,Apteki i suplementy,mniejszy,HTTP,otwarta,dozwolony (brak reguł),dozwolony (brak reguł),dozwolony (brak reguł),nie,nie,GTM-NRZ2V3DC,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
sfd.pl,Apteki i suplementy,mniejszy,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,GTM-TK4L9TX,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
wapteka.pl,Apteki i suplementy,mniejszy,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,GTM-NVMC25R2,zakazana poza USA (zdrowie),2026-09-24 12:21 UTC
agatameble.pl,"Dom, meble i ogród",lider,przeglądarka,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,GTM-MR8SSQ7K,dozwolona,2026-09-24 12:21 UTC
blackredwhite.com,"Dom, meble i ogród",lider,HTTP,otwarta,dozwolony (brak reguł),dozwolony (brak reguł),dozwolony (brak reguł),nie,nie,GTM-TZFJ37,dozwolona,2026-09-24 12:21 UTC
castorama.pl,"Dom, meble i ogród",lider,HTTP,otwarta,dozwolony (*),dozwolony (*),dozwolony (*),nie,nie,,dozwolona,2026-09-24 12:21 UTC
