domena,kategoria,grupa,status_strony,adres_koncowy,robots_status,OAI-AdsBot_dostep,OAI-AdsBot_regula,OAI-SearchBot_dostep,OAI-SearchBot_regula,GPTBot_dostep,GPTBot_regula,kontenery_gtm,pixel_openai,pixel_meta,data_skanu
reserved.com,Moda i obuwie,lider,200,https://www.reserved.com/special/store/?nolang=true,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
answear.com,Moda i obuwie,lider,403,https://answear.com/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
modivo.pl,Moda i obuwie,lider,200,https://modivo.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-KDMF53R,nie,tak,2026-09-24 12:21 UTC
eobuwie.pl,Moda i obuwie,lider,200,https://eobuwie.com.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-MZRVB99,nie,tak,2026-09-24 12:21 UTC
ccc.eu,Moda i obuwie,lider,200,https://ccc.eu/start/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
4f.com.pl,Moda i obuwie,lider,błąd: ReadTimeout,https://4f.com.pl/,błąd: ReadTimeout,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
sinsay.com,Moda i obuwie,lider,200,https://www.sinsay.com/special/store/?nolang=true,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
mohito.com,Moda i obuwie,lider,200,https://www.mohito.com/special/store/?nolang=true,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
born2be.pl,Moda i obuwie,mniejszy,200,https://born2be.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-PHRXNL9,nie,nie,2026-09-24 12:21 UTC
renee.pl,Moda i obuwie,mniejszy,200,https://www.renee.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-K57KN24,nie,nie,2026-09-24 12:21 UTC
diverse.pl,Moda i obuwie,mniejszy,200,https://diversesystem.com/pl,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-WLL756BQ,nie,nie,2026-09-24 12:21 UTC
vistula.pl,Moda i obuwie,mniejszy,200,https://vistula.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-NQFCTBQ,nie,nie,2026-09-24 12:21 UTC
wolczanka.pl,Moda i obuwie,mniejszy,200,https://wolczanka.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-58PWKFW,nie,nie,2026-09-24 12:21 UTC
bizuu.com,Moda i obuwie,mniejszy,429,https://bizuu.com/,429,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
mokobelle.com,Moda i obuwie,mniejszy,200,https://mokobelle.com/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-LDWN,nie,tak,2026-09-24 12:21 UTC
lavard.com,Moda i obuwie,mniejszy,200,https://lavard.com/,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-PDPD66B,nie,nie,2026-09-24 12:21 UTC
medicine.pl,Moda i obuwie,mniejszy,błąd: SSLError,https://medicine.pl/,błąd: SSLError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
x-kom.pl,Elektronika i AGD,lider,403,https://www.x-kom.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
mediaexpert.pl,Elektronika i AGD,lider,403,https://mediaexpert.pl/,200,dozwolony,nazwany,dozwolony,nazwany,dozwolony,nazwany,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
euro.com.pl,Elektronika i AGD,lider,403,https://www.euro.com.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
morele.net,Elektronika i AGD,lider,200,https://www.morele.net/,200,dozwolony,*,dozwolony,nazwany,dozwolony,nazwany,GTM-NCXT92B,tak (GTM),nie,2026-09-24 12:21 UTC
komputronik.pl,Elektronika i AGD,lider,403,https://www.komputronik.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
neonet.pl,Elektronika i AGD,lider,403,https://www.neonet.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
mediamarkt.pl,Elektronika i AGD,lider,200,https://mediamarkt.pl/,200,dozwolony,*,dozwolony,nazwany,dozwolony,nazwany,,nie,nie,2026-09-24 12:21 UTC
oleole.pl,Elektronika i AGD,mniejszy,403,https://www.oleole.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
sferis.pl,Elektronika i AGD,mniejszy,błąd: ProxyError,https://sferis.pl/,błąd: ProxyError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
proline.pl,Elektronika i AGD,mniejszy,200,https://proline.pl/,200,dozwolony,*,dozwolony,nazwany,dozwolony,nazwany,GTM-NTF7862T,nie,nie,2026-09-24 12:21 UTC
electro.pl,Elektronika i AGD,mniejszy,403,https://electro.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
zadowolenie.pl,Elektronika i AGD,mniejszy,403,https://zadowolenie.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
avans.pl,Elektronika i AGD,mniejszy,403,https://avans.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
icorner.pl,Elektronika i AGD,mniejszy,200,https://alstor.pl/,błąd: ProxyError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-W87SHSQ,nie,nie,2026-09-24 12:21 UTC
idream.pl,Elektronika i AGD,mniejszy,403,https://idream.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
cortland.com.pl,Elektronika i AGD,mniejszy,403,https://cortland.pl,522,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
castorama.pl,"Dom, meble i ogród",lider,200,https://www.castorama.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
leroymerlin.pl,"Dom, meble i ogród",lider,403,https://www.leroymerlin.pl/,200,dozwolony,*,dozwolony,nazwany,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
agatameble.pl,"Dom, meble i ogród",lider,403,https://www.agatameble.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
blackredwhite.com,"Dom, meble i ogród",lider,200,https://www.brw.com/distribution-network/,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-TZFJ37,nie,nie,2026-09-24 12:21 UTC
vox.pl,"Dom, meble i ogród",lider,200,https://vox.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-NJK6BFC,nie,tak,2026-09-24 12:21 UTC
jysk.pl,"Dom, meble i ogród",lider,200,https://jysk.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-KM45937F,tak (GTM),tak,2026-09-24 12:21 UTC
obi.pl,"Dom, meble i ogród",lider,200,https://www.obi.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-5SDGHH GTM-K4GK7X8 GTM-KVFSPT GTM-MF3JDS,nie,nie,2026-09-24 12:21 UTC
meblobranie.pl,"Dom, meble i ogród",mniejszy,200,https://www.meblobranie.pl/,200,dozwolony,*,dozwolony,*,zablokowany,nazwany,GTM-K5P6TFJ,nie,nie,2026-09-24 12:21 UTC
dekoria.pl,"Dom, meble i ogród",mniejszy,403,https://dekoria.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
homla.com.pl,"Dom, meble i ogród",mniejszy,403,https://homla.com.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
komfort.pl,"Dom, meble i ogród",mniejszy,200,https://komfort.pl/,200,dozwolony,*,dozwolony,nazwany,dozwolony,nazwany,GTM-TBLB7P5,nie,nie,2026-09-24 12:21 UTC
home-you.com,"Dom, meble i ogród",mniejszy,403,https://home-you.com/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
duka.com,"Dom, meble i ogród",mniejszy,200,https://duka.com/pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-N6XZND7,nie,tak,2026-09-24 12:21 UTC
sfmeble.pl,"Dom, meble i ogród",mniejszy,200,https://www.kare24.pl/,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-MG5QQL9 GTM-P7HR8KSK,nie,nie,2026-09-24 12:21 UTC
9design.pl,"Dom, meble i ogród",mniejszy,200,https://9design.pl/,200,dozwolony,*,dozwolony,*,zablokowany,nazwany,GTM-T47XM8BT,nie,tak,2026-09-24 12:21 UTC
forte.com.pl,"Dom, meble i ogród",mniejszy,200,https://www.forte.com.pl,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-TLWWLCV,nie,nie,2026-09-24 12:21 UTC
rossmann.pl,Uroda i drogerie,lider,200,https://www.rossmann.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-T42P289W,nie,tak,2026-09-24 12:21 UTC
hebe.pl,Uroda i drogerie,lider,403,https://hebe.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
notino.pl,Uroda i drogerie,lider,403,https://www.notino.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
douglas.pl,Uroda i drogerie,lider,403,https://www.douglas.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
sephora.pl,Uroda i drogerie,lider,403,https://sephora.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
superpharm.pl,Uroda i drogerie,lider,403,https://superpharm.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
ezebra.pl,Uroda i drogerie,mniejszy,200,https://www.ezebra.pl/,200,dozwolony,*,dozwolony,*,zablokowany,nazwany,GTM-T38C9T,nie,tak,2026-09-24 12:21 UTC
cosibella.pl,Uroda i drogerie,mniejszy,200,https://cosibella.pl/,200,dozwolony,*,dozwolony,nazwany,dozwolony,nazwany,GTM-PB8P64W,tak (GTM),tak,2026-09-24 12:21 UTC
perfumesco.pl,Uroda i drogerie,mniejszy,błąd: ProxyError,https://perfumesco.pl/,błąd: ProxyError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
iperfumy.pl,Uroda i drogerie,mniejszy,403,https://www.notino.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
e-glamour.pl,Uroda i drogerie,mniejszy,200,https://www.e-glamour.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
estyle.pl,Uroda i drogerie,mniejszy,błąd: SSLError,https://estyle.pl/,błąd: SSLError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
cocolita.pl,Uroda i drogerie,mniejszy,403,https://cocolita.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
ziaja.com,Uroda i drogerie,mniejszy,200,https://ziaja.com/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
bielenda.pl,Uroda i drogerie,mniejszy,200,https://bielenda.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
tolpa.pl,Uroda i drogerie,mniejszy,403,https://tolpa.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
decathlon.pl,Sport i outdoor,lider,403,https://www.decathlon.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
intersport.pl,Sport i outdoor,lider,403,https://intersport.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
